Real Time Clock Latency: 27
Cache miss: 186 (213 - 27)  Cache hit: 6 (33 - 27)
Instruction mul: 6 (33 - 27)
Instruction div: 12 (39 - 27)
Instruction float mul: 18 (45 - 27)
Instruction float div: 27 (54 - 27)
2 layer empty loops (8388608 * 1): 49747992 (49748019 - 27)
2 layer empty loops (4194304 * 2): 29968926 (29968953 - 27)
2 layer empty loops (2097152 * 4): 26305458 (26305485 - 27)
2 layer empty loops (1048576 * 8): 26811285 (26811312 - 27)
2 layer empty loops (524288 * 16): 30047553 (30047580 - 27)
2 layer empty loops (262144 * 32): 49940469 (49940496 - 27)
2 layer empty loops (131072 * 64): 48731631 (48731658 - 27)
2 layer empty loops (1M * 8): 26661597 (26661624 - 27)
2 layer empty loops (8 * 1M): 41074119 (41074146 - 27)
2 layer maccess loops (1M * 8): 61264542 (61264569 - 27)
2 layer maccess loops (8 * 1M): 97182510 (97182537 - 27)
3 layer empty loops (1M * 64 * 8): 460473606 (460473633 - 27)
3 layer empty loops (8 * 64 * 1M): 690272451 (690272478 - 27)
3 layer maccess loops (1M * 64 * 8): 945598269 (945598296 - 27)
3 layer maccess loops (8 * 64 * 1M): 1556611188 (1556611215 - 27)
round, BYTE, SHORT, LONG, LONGLONG
32,      8.432, 4317, 512
33,      11.250, 5940, 528
34,      13.252, 7209, 544
35,      19.146, 10722, 560
36,      19.734, 11367, 576
37,      23.514, 13920, 592
38,      23.822, 14484, 608
39,      24.529, 15306, 624
40,      26.348, 16863, 640
41,      26.369, 17298, 656
42,      26.366, 17718, 672
43,      26.372, 18144, 688
44,      28.351, 19959, 704
45,      26.821, 19311, 720
46,      26.319, 19371, 736
47,      26.330, 19800, 752
48,      26.324, 20217, 768
49,      26.338, 20649, 784
50,      28.613, 22890, 800
51,      26.654, 21750, 816
52,      26.657, 22179, 832
53,      26.653, 22602, 848
54,      26.368, 22782, 864
55,      26.373, 23208, 880
56,      26.384, 23640, 896
57,      26.378, 24057, 912
58,      26.318, 24423, 928
59,      26.047, 24588, 944
60,      26.056, 25014, 960
61,      25.986, 25362, 976
62,      26.335, 26124, 992
63,      26.348, 26559, 1008
64,      26.350, 26982, 1024

Measure L1 cache associative ways for window: 16384
step, latency, clocks, rounds
1,       2.438, 39, 16
2,       3.188, 102, 32
3,       3.063, 147, 48
4,       3.234, 207, 64
5,       3.225, 258, 80
6,       3.250, 312, 96
7,       3.241, 363, 112
8,       3.352, 429, 128
9,       8.354, 1203, 144
10,      9.188, 1470, 160
11,      9.205, 1620, 176
12,      9.188, 1764, 192
13,      9.202, 1914, 208
14,      9.576, 2145, 224
15,      9.213, 2211, 240
16,      9.211, 2358, 256
17,      15.860, 4314, 272
18,      17.823, 5133, 288
19,      18.819, 5721, 304
20,      25.406, 8130, 320
21,      23.429, 7872, 336
22,      24.460, 8610, 352
23,      25.084, 9231, 368
24,      27.016, 10374, 384
25,      26.633, 10653, 400
26,      27.346, 11376, 416
27,      27.243, 11769, 432
28,      27.864, 12483, 448
29,      27.349, 12690, 464
30,      27.144, 13029, 480
31,      27.012, 13398, 496
32,      27.217, 13935, 512
33,      26.523, 14004, 528
34,      26.531, 14433, 544
35,      26.529, 14856, 560
36,      26.542, 15288, 576
37,      26.539, 15711, 592
38,      26.556, 16146, 608
39,      26.543, 16563, 624
40,      26.559, 16998, 640
41,      26.556, 17421, 656
42,      26.563, 17850, 672
43,      26.560, 18273, 688
44,      28.547, 20097, 704
45,      28.475, 20502, 720
46,      28.549, 21012, 736
47,      28.552, 21471, 752
48,      26.574, 20409, 768
49,      28.565, 22395, 784
50,      28.564, 22851, 800
51,      28.566, 23310, 816
52,      28.565, 23766, 832
53,      28.571, 24228, 848
54,      28.569, 24684, 864
55,      28.575, 25146, 880
56,      28.574, 25602, 896
57,      28.582, 26067, 912
58,      28.568, 26511, 928
59,      26.596, 25107, 944
60,      26.587, 25524, 960
61,      26.597, 25959, 976
62,      26.592, 26379, 992
63,      27.167, 27384, 1008
64,      28.585, 29271, 1024

Measure L1 cache associative ways for window: 32768
step, latency, clocks, rounds
1,       3.188, 51, 16
2,       2.250, 72, 32
3,       3.188, 153, 48
4,       3.188, 204, 64
5,       3.263, 261, 80
6,       3.281, 315, 96
7,       3.268, 366, 112
8,       3.375, 432, 128
9,       23.125, 3330, 144
10,      26.400, 4224, 160
11,      25.006, 4401, 176
12,      29.094, 5586, 192
13,      28.933, 6018, 208
14,      29.009, 6498, 224
15,      28.938, 6945, 240
16,      26.941, 6897, 256
17,      27.033, 7353, 272
18,      27.000, 7776, 288
19,      29.033, 8826, 304
20,      28.959, 9267, 320
21,      27.009, 9075, 336
22,      26.676, 9390, 352
23,      26.959, 9921, 368
24,      26.977, 10359, 384
25,      27.045, 10818, 400
26,      27.065, 11259, 416
27,      28.931, 12498, 432
28,      26.525, 11883, 448
29,      26.522, 12306, 464
30,      26.956, 12939, 480
31,      26.970, 13377, 496
32,      26.936, 13791, 512
33,      26.153, 13809, 528
34,      26.184, 14244, 544
35,      26.186, 14664, 560
36,      26.208, 15096, 576
37,      26.220, 15522, 592
38,      26.230, 15948, 608
39,      26.135, 16308, 624
40,      26.166, 16746, 640
41,      26.159, 17160, 656
42,      26.188, 17598, 672
43,      26.189, 18018, 688
44,      26.199, 18444, 704
45,      26.221, 18879, 720
46,      26.213, 19293, 736
47,      26.154, 19668, 752
48,      26.148, 20082, 768
49,      26.170, 20517, 784
50,      26.171, 20937, 800
51,      26.180, 21363, 816
52,      26.124, 21735, 832
53,      28.093, 23823, 848
54,      28.108, 24285, 864
55,      28.111, 24738, 880
56,      28.118, 25194, 896
57,      28.132, 25656, 912
58,      28.131, 26106, 928
59,      26.190, 24723, 944
60,      26.184, 25137, 960
61,      26.142, 25515, 976
62,      26.153, 25944, 992
63,      26.164, 26373, 1008
64,      26.156, 26784, 1024

Measure L1 cache associative ways for window: 65536
step, latency, clocks, rounds
1,       3.188, 51, 16
2,       3.094, 99, 32
3,       3.125, 150, 48
4,       3.141, 201, 64
5,       9.075, 726, 80
6,       9.063, 870, 96
7,       9.134, 1023, 112
8,       9.492, 1215, 128
9,       21.167, 3048, 144
10,      26.738, 4278, 160
11,      24.614, 4332, 176
12,      28.813, 5532, 192
13,      29.077, 6048, 208
14,      29.076, 6513, 224
15,      27.262, 6543, 240
16,      29.250, 7488, 256
17,      27.199, 7398, 272
18,      27.177, 7827, 288
19,      27.207, 8271, 304
20,      26.953, 8625, 320
21,      26.804, 9006, 336
22,      27.111, 9543, 352
23,      27.204, 10011, 368
24,      27.242, 10461, 384
25,      27.210, 10884, 400
26,      27.180, 11307, 416
27,      28.931, 12498, 432
28,      28.862, 12930, 448
29,      28.280, 13122, 464
30,      27.488, 13194, 480
31,      27.224, 13503, 496
32,      26.889, 13767, 512
33,      27.506, 14523, 528
34,      28.539, 15525, 544
35,      29.405, 16467, 560
36,      30.401, 17511, 576
37,      31.221, 18483, 592
38,      32.053, 19488, 608
39,      32.798, 20466, 624
40,      33.577, 21489, 640
41,      33.613, 22050, 656
42,      33.621, 22593, 672
43,      33.602, 23118, 688
44,      33.609, 23661, 704
45,      33.604, 24195, 720
46,      33.632, 24753, 736
47,      33.610, 25275, 752
48,      33.617, 25818, 768
49,      33.597, 26340, 784
50,      33.593, 26874, 800
51,      33.603, 27420, 816
52,      33.602, 27957, 832
53,      33.612, 28503, 848
54,      33.611, 29040, 864
55,      33.593, 29562, 880
