Real Time Clock Latency: 27
Cache miss: 6 (33 - 27)  Cache hit: 0 (27 - 27)
Instruction mul: 3 (30 - 27)
Instruction div: 9 (36 - 27)
Instruction float mul: 12 (39 - 27)
Instruction float div: 21 (48 - 27)
2 layer empty loops (8388608 * 1): 49580814 (49580841 - 27)
2 layer empty loops (4194304 * 2): 29797443 (29797470 - 27)
2 layer empty loops (2097152 * 4): 26246457 (26246484 - 27)
2 layer empty loops (1048576 * 8): 26641935 (26641962 - 27)
2 layer empty loops (524288 * 16): 30044571 (30044598 - 27)
2 layer empty loops (262144 * 32): 49739703 (49739730 - 27)
2 layer empty loops (131072 * 64): 48790404 (48790431 - 27)
2 layer empty loops (1M * 8): 26756205 (26756232 - 27)
2 layer empty loops (8 * 1M): 42008811 (42008838 - 27)
2 layer maccess loops (1M * 8): 247602639 (247602666 - 27)
2 layer maccess loops (8 * 1M): 177170256 (177170283 - 27)
3 layer empty loops (1M * 64 * 8): 460527852 (460527879 - 27)
3 layer empty loops (8 * 64 * 1M): 692181321 (692181348 - 27)
3 layer maccess loops (1M * 64 * 8): 1142919339 (1142919366 - 27)
3 layer maccess loops (8 * 64 * 1M): 2807142510 (2807142537 - 27)
round, BYTE, SHORT, LONG, LONGLONG
0, 189, 195, 192, 198
1, 30, 30, 30, 30
step, latency, clocks, rounds
20,      30.525, 9768, 320
21,      30.143, 10128, 336
22,      30.366, 10689, 352
23,      32.641, 12012, 368
24,      30.594, 11748, 384
25,      30.255, 12102, 400
26,      30.425, 12657, 416
27,      30.465, 13161, 432
28,      30.589, 13704, 448
29,      30.349, 14082, 464
30,      30.387, 14586, 480
31,      30.508, 15132, 496
32,      30.633, 15684, 512
33,      31.517, 16641, 528
34,      33.193, 18057, 544
35,      34.693, 19428, 560
36,      36.026, 20751, 576
37,      35.995, 21309, 592
38,      36.163, 21987, 608
39,      36.236, 22611, 624
40,      53.461, 34215, 640
41,      53.922, 35373, 656
42,      54.969, 36939, 672
43,      74.760, 51435, 688
44,      83.284, 58632, 704
45,      94.721, 68199, 720
46,      90.024, 66258, 736
47,      108.056, 81258, 752
48,      115.160, 88443, 768
49,      113.216, 88761, 784
50,      109.763, 87810, 800
51,      116.191, 94812, 816
52,      115.367, 95985, 832
53,      113.363, 96132, 848
54,      114.080, 98565, 864
55,      119.925, 105534, 880
56,      118.306, 106002, 896
57,      117.063, 106761, 912
58,      120.168, 111516, 928
59,      122.234, 115389, 944
60,      121.472, 116613, 960
61,      121.057, 118152, 976
62,      122.038, 121062, 992
63,      125.107, 126108, 1008
64,      125.590, 128604, 1024

Measure L1 cache associative ways for window: 1048576
step, latency, clocks, rounds
1,       3.375, 54, 16
2,       2.344, 75, 32
3,       2.500, 120, 48
4,       3.234, 207, 64
5,       15.412, 1233, 80
6,       15.531, 1491, 96
7,       15.830, 1773, 112
8,       17.227, 2205, 128
9,       22.875, 3294, 144
10,      22.894, 3663, 160
11,      22.926, 4035, 176
12,      21.266, 4083, 192
13,      22.990, 4782, 208
14,      23.009, 5154, 224
15,      23.063, 5535, 240
16,      23.051, 5901, 256
17,      25.831, 7026, 272
18,      34.250, 9864, 288
19,      33.020, 10038, 304
20,      32.541, 10413, 320
21,      35.777, 12021, 336
22,      33.656, 11847, 352
23,      44.111, 16233, 368
24,      50.016, 19206, 384
25,      50.340, 20136, 400
26,      50.358, 20949, 416
27,      50.653, 21882, 432
28,      50.665, 22698, 448
29,      50.922, 23628, 464
30,      51.163, 24558, 480
31,      51.278, 25434, 496
32,      51.381, 26307, 512
33,      51.483, 27183, 528
34,      51.574, 28056, 544
35,      51.755, 28983, 560
36,      51.849, 29865, 576
37,      51.912, 30732, 592
38,      52.076, 31662, 608
39,      52.043, 32475, 624
40,      52.073, 33327, 640
41,      52.248, 34275, 656
42,      52.295, 35142, 672
43,      52.360, 36024, 688
44,      69.558, 48969, 704
45,      67.821, 48831, 720
46,      88.655, 65250, 736
47,      91.073, 68487, 752
48,      103.637, 79593, 768
49,      101.724, 79752, 784
50,      109.354, 87483, 800
51,      108.978, 88926, 816
52,      107.993, 89850, 832
53,      102.732, 87117, 848
54,      106.448, 91971, 864
